gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PIK3IP1,2.1649686898430955e-26,-3.0410523762933814,0.188,0.844,5.5423198459983245e-24
IL2RB,9.670796409433307e-25,-3.04598620527418,0.198,0.8,2.4757238808149265e-22
ITGAL,1.4028220753553078e-32,-3.047934477063702,0.233,0.956,3.591224512909588e-30
SELPLG,3.5044888452915245e-35,-3.0550413635579616,0.184,0.956,8.971491443946303e-33
CD27,1.28942576627259e-15,-3.069540933253077,0.073,0.444,3.30092996165783e-13
CD4,3.7225196176115947e-13,-3.087462841250339,0.102,0.467,9.529650221085682e-11
LAIR2,3.134995580839713e-8,-3.1545770371088766,0.035,0.222,8.025588686949665e-6
TRAT1,1.8598480587092647e-17,-3.1654653532516126,0.071,0.467,4.761211030295718e-15
CCL5,6.051563980595748e-14,-3.191460561784557,0.447,0.844,1.5492003790325114e-11
CD7,9.360765008850845e-30,-3.2324111771614388,0.124,0.778,2.3963558422658162e-27
KLRC1,5.4915369742242386e-8,-3.2324111771614388,0.037,0.222,1.4058334654014051e-5
LTB,1.1198765091843559e-17,-3.249734270149217,0.09,0.511,2.866883863511951e-15
CD300A,8.909452840708576e-9,-3.2614922410253886,0.02,0.178,2.2808199272213956e-6
TRBC2,7.244338432469623e-21,-3.297053426248333,0.384,0.956,1.8545506387122235e-18
CTLA4,2.4375164331533915e-17,-3.314873337353412,0.065,0.444,6.240042068872682e-15
ITGB2,9.953106158921413e-31,-3.323794453544661,0.19,0.867,2.5479951766838816e-28
KLRC3,1.5537842868253935e-7,-3.332575339086871,0.008,0.111,3.9776877742730075e-5
CCND2,8.303385745009531e-27,-3.366438790953155,0.11,0.689,2.12566675072244e-24
STAT4,8.4731729674997e-22,-3.4029646669782685,0.075,0.533,2.1691322796799233e-19
ITGAM,3.348913813442e-13,-3.4244978285279104,0.027,0.267,8.57321936241152e-11
TRAC,1.046772962057125e-14,-3.4570573697680165,0.4,0.8,2.67973878286624e-12
LAT,2.8558038436385724e-26,-3.4581062211707296,0.12,0.711,7.310857839714745e-24
ICOS,2.4223627557430374e-24,-3.4581062211707296,0.043,0.467,6.201248654702176e-22
CCR5,1.47407496713598e-16,-3.4618583560318372,0.047,0.378,3.7736319158681086e-14
TNFRSF18,1.6090679380313268e-4,-3.502500340529183,0.006,0.067,0.041192139213601965
RORA,3.423183233074596e-17,-3.5025003405291835,0.037,0.356,8.763349076670966e-15
CTSW,1.3097828322770123e-30,-3.5340359139622897,0.102,0.711,3.3530440506291514e-28
CD48,1.2545576128010955e-35,-3.5696145363877205,0.159,0.889,3.2116674887708045e-33
LAG3,3.1204839114474154e-18,-3.571213090613197,0.047,0.4,7.988438813305383e-16
BIN2,3.882669079798428e-32,-3.5805028525304565,0.075,0.667,9.939632844283976e-30
CXCR4,1.4249517695762496e-29,-3.6160292861595975,0.304,0.933,3.647876530115199e-27
CD6,9.085399919858181e-32,-3.634144346339654,0.153,0.822,2.3258623794836943e-29
KLRG1,4.1038187278300356e-11,-3.683072586171004,0.024,0.222,1.0505775943244891e-8
CD40LG,9.511143794451571e-7,-3.724892761865631,0.01,0.111,2.434852811379602e-4
IL18RAP,9.157323017892952e-15,-3.7655347463629765,0.014,0.222,2.3442746925805958e-12
TSPAN32,1.5177403385899756e-7,-3.7655347463629765,0.008,0.111,3.8854152667903375e-5
ARL4C,1.2201076197043924e-30,-3.7701961237328403,0.124,0.756,3.1234755064432444e-28
CD3D,3.4856431511751774e-29,-3.798893343309408,0.216,0.844,8.923246467008454e-27
NCR3,2.208140509862383e-20,-3.8369193795997423,0.033,0.378,5.6528397052477004e-18
CD52,5.320487163218767e-28,-3.852513948641007,0.41,0.978,1.3620447137840044e-25
KIT,1.937484760087868e-4,-3.8717341501949023,0.012,0.089,0.04959960985824942
S1PR1,5.73095024505136e-10,-3.9175378398080265,0.043,0.267,1.467123262733148e-7
ZBTB16,9.511143794451571e-7,-3.917537839808027,0.01,0.111,2.434852811379602e-4
CCR1,2.013731457937478e-5,-3.917537839808027,0.004,0.067,0.005155152532319944
CD5,7.400547193832235e-30,-3.932184615772428,0.073,0.622,1.8945400816210523e-27
LCK,3.14607461716112e-38,-3.9559580581218476,0.186,0.933,8.053951019932468e-36
