Sample,0,3,6,10,14,17,21,24,28,31,35,38,42,45
Non-TD 9,91.89126,104.74475,66.95687,67.41954,76.64837,70.32829,102.99097,115.30699,125.53799,148.75898,158.76638,219.87782,286.40142,346.57998
Intact 1,103.20752,79.79868,97.98984,61.10208,72.41416,62.02872,79.79868,65.47476,118.60992,70.2,112.32,145.13408,244.63296,318.825
Intact 2,84.72464,59.61176,11.69532,44.19584,105.49656,34.944,131.94914,109.7373225,146.068,131.2292,182.158,213.57271,257.48754,285.3344
Intact 3,153.8602,127.95328,109.55412,144.71964,130,133.89948,188.25248,143.42016,146.068,162.019,221.7566,241.67,240.10272,419.328
Intact 4,103.7264,124.8247,138.349,158.73104,145.91824,19.9888,153.8602,116.57412,164.4682,244.88672,235.1934,393.588,405.59168,951.98064
Intact 5,145.91824,50.752,24.49408,179.20188,27.18144,164.775,163.04652,305.22492,227.76624,218.35008,279.87908,448.96228,517.2102,705.159
Intact 6,100.19168,76.19056,66.43276,58.11666,63.06108,44.8525,60.74422,48.96154,70.01296,43.702,59.822,76.22904,192.41836,303.6617
Intact 7,104.54146,79.06912,83.2858,103.98536,90.02986,54.51511,117.90394,92.09894,133.41346,117.184,168.1128,194.47654,243.44234,370.151
Intact 8,117.7716,93.11432,97.331,118.03056,104.07506,68.56031,131.94914,106.14414,147.45866,131.2292,182.158,208.52174,257.48754,384.1962
Intact 9,112.2020731,82.58138538,62.37462304,97.14144844,83.34129224,59.64854249,111.9443975,109.7373225,125.97468,123.446375,157.405235,213.57271,260.2434335,427.0337431
