,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD276,86.47355997658686,1.673865867811489,0.26771212823936374,6.252484259192287,4.039744720622005e-10,4.140738338637555e-12
IL2RA,73.91772879827218,1.2768386956743236,0.23151098841272244,5.515240137967275,3.4830404186555934e-08,2.0400665309268475e-10
CD274,58.18147123831083,1.2599520013286798,0.3391353088021752,3.7151896857299413,0.00020305131591660707,0.0000000055500693017
GZMA,103.25571756503241,1.172537747755284,0.2848552609490876,4.116258003621188,3.850732364440301e-05,0.00000143527297220047
CD45R0,59.924264478832775,1.064271656446777,0.26463155141412087,4.021711132930262,5.777688699468469e-05,0.000197404363898506
GZMB,171.51607867656918,1.06322289187971,0.19090224861969618,5.569462379659014,2.5552655288298294e-08,1.74609811136705e-05
IL7R,64.62848126100172,0.8741897726383836,0.23164333181600213,3.7738611588127475,0.00016074024021650642,0.0004707392749197688
CTLA4-TM,20.29059427753218,0.8706433839770711,0.3892900280995012,2.2364903314567757,0.025319669937067097,0.04943364130570243
SELL,45.525151902651004,0.7997496041694834,0.36198860494844015,2.2093225953435627,0.027152210652926168,0.05060184712590785
CD272,67.86456683108163,0.7741159860706044,0.25084601580528343,3.0860206552832152,0.002028547299979616,0.004377391542061277
CTLA4,30.159670685783414,0.747347632232735,0.226846187189893,3.2945126452891627,0.0009859250856800025,0.0025202473237133103
PRF1,69.68794191793842,0.7357795759115724,0.17294961419642424,4.254300186387955,2.0970382167902793e-05,8.597856688840145e-05
GZMH,33.33677051367881,0.64132340611598,0.32551521867661787,1.970179485688197,0.04881780377686057,0.08006119819405133
IFNG,33.18402576978819,0.5987124800624957,0.276678557399606,2.1639280097798728,0.030469874876541212,0.054315863910356074
TNFRSF9,19.415787169883135,0.46018132917530713,0.2664501969329736,1.7270819630546839,0.08415294443828349,0.12778780451739344
IL2RG,141.9019340331697,0.39752772536881503,0.19529533241569447,2.0355208721663676,0.04179849057236007,0.07140575472778178
CD8A,13.425198993569525,0.3706572089203011,0.35388076510903216,1.0474070519376775,0.2949118806536448,0.3646595766036584
FAS,44.77524431688321,0.325598114895189,0.21296441948904268,1.5288850394652025,0.12629294565337618,0.1726003590596141
GNLY,82.16448725531546,0.2962699378687097,0.4143476151287707,0.715027496361081,0.4745920530239388,0.5405076159439303
CD4,83.74003417675745,0.17894494363800525,0.18494769794069246,0.9675435035443797,0.3332724045577852,0.39040481676769123
HAVCR2,21.406111607914234,0.12529878828193647,0.3632710906026151,0.3449181383359837,0.7301559140361413,0.7484098118870448
SIGLEC7,8.046440996512677,0.12518539620403582,0.397155321859211,0.3152051333921524,0.7526059082049646,
ICOS,65.74710511349319,0.09766303345738019,0.17384945507411628,0.5617678434237486,0.5742742039012706,0.6363579016203269
CD40,62.6973636676647,-0.0304059680759694,0.1577228191504681,-0.1927810334594768,0.8471304579601981,0.8471304579601981
TNFRSF4,35.466653297668,-0.09050307700315988,0.20166824612248213,-0.4487720736570165,0.6535960861290867,0.6871138341357066
FOXP3,39.32272271393131,-0.10315070333149699,0.21460874264680987,-0.48064539244450166,0.6307685481250351,0.6805660650822748
TNF,74.33166703135788,-0.21849737169746772,0.17710478168091104,-1.2337180827287517,0.21730797334480245,0.28740731958506127
LAG3,41.06195222569266,-0.2933018217779727,0.18429559393568315,-1.5914749534399144,0.11150272778704443,0.15764178756099384
GZMM,30.02130348097358,-0.3101282117368894,0.30071609692273293,-1.0312990056417728,0.3024006245005948,0.3646595766036584
ADORA2A,26.036059782286586,-0.48986783977826787,0.29458815131604915,-1.6628905052352656,0.09633435532852368,0.14106102030248108
VISTA,26.45135423563378,-0.49522137610449296,0.20336969289209014,-2.4350795296094687,0.014888516957373693,0.03052145976261607
FASLG,10.228011303144143,-0.49660299441494365,0.4269790244339977,-1.1630618039685656,0.2448044278122573,0.3136556731344547
EOMES,30.411628409758514,-0.6867855700858445,0.20950542646271947,-3.2781278350709204,0.0010449805976372262,0.0025202473237133103
VTCN1,10.399835091113951,-0.719019175806435,0.3874248468646124,-1.85589329550074,0.06346876881521213,0.10008536620860374
GZMK,12.450417604607724,-0.8879396673286567,0.28555608552650763,-3.109510573698598,0.001873975769684271,0.004268500364280839
TNFSF18,18.878924239398568,-1.021391953670994,0.2553165591884101,-4.0004923962540975,6.32108183734173e-05,0.00019935719640846994
NOX2,12.759214368245411,-1.3988572485590052,0.296900896613222,-4.711529215694223,2.4586484067475384e-06,1.1200509408516564e-05
CD28,38.45009562298705,-1.4709448225499693,0.27238939230035725,-5.400154573302889,6.658350121742154e-08,3.412404437392854e-07
CD45RA,16.519305188490655,-1.7623636711091801,0.2802133170107428,-6.289364438170562,3.1876833118131786e-10,4.140738338637555e-09
TNFRSF18,24.283028583723436,-1.7873828040081787,0.29775491452078207,-6.002865836437527,1.9386480634841e-09,1.5896914120569617e-10
CD27,33.377200467708136,-2.0147835710058293,0.2517813884602321,-8.002114784286594,1.2230029511671897e-15,5.014312099785478e-14
ADORA2B,24.909572277242514,-2.1882511405526266,0.28591648310560136,-7.653462706256114,1.9563839434446884e-14,4.010587084061611e-16
