,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD45R0,48.10265763961738,2.385071964801637,0.3251926749859097,7.33433483673942,2.22825370363616e-13,1.8717331110543746e-17
IL2RA,91.2450491383341,2.1929159779180436,0.25951847529828775,8.449941667534572,2.9144840246614683e-17,4.588525509120538e-16
CD276,79.57739145260975,2.0575271160249478,0.24389192310024999,8.436224905976966,3.277518220800385e-17,4.588525509120538e-15
CD274,46.59607002281747,1.706349623113932,0.308972800677445,5.522653189447868,3.339184409271308e-08,1.2749613199035904e-13
CTLA4,29.67091579885484,1.452866034092899,0.3376262483006971,4.303178563293887,1.6836504749831832e-05,3.535665997464685e-12
GZMH,22.82321078026458,1.4495151234407557,0.3094273869742242,4.684508173678572,2.806329690537378e-06,6.933285117798229e-11
PRF1,56.11842221315121,1.443696496004763,0.22304365664559525,6.472708158200264,9.626177063642245e-11,4.492215963033048e-10
IL7R,58.03806040809744,1.3236376634989622,0.25991552405834245,5.09256870398341,3.532446449586927e-07,1.0597339348760782e-08
GZMA,51.656127771360836,1.317709847578355,0.5986417591763997,2.2011659350180244,0.027724278908454233,0.00000581399047183
CD272,50.536438517286534,1.288105578415055,0.2511869874971072,5.12807447252772,2.9272065404169714e-07,9.4571288228856e-07
SELL,31.16814679812353,1.262555496971605,0.29478744828719833,4.282935058149265,1.8444401797227276e-05,5.688880359445455e-08
IL2RG,114.01071627220871,1.1065088871364421,0.16299608818008074,6.788560998555702,1.1325749349980802e-11,5.795449609988482e-05
GZMB,193.11442349678973,1.0568722220406644,0.2445113601057545,3.9134059931890444,9.100333811763583e-05,0.00017373364549730478
CD40,58.912702252021276,0.6480263366075765,0.217291927951441,2.9822844443277856,0.002861060430468389,0.004450538447395272
FAS,42.70759646066961,0.6236147278353009,0.21770047772624368,2.864553786691688,0.004175972279375467,0.006047959852888608
GNLY,49.0068728535167,0.5939440525884446,0.36269503825077504,1.637585271232134,0.10150823761654866,0.12919230242106192
HAVCR2,19.292113668898633,0.552888487703712,0.2637256508472156,2.0964532116142824,0.03604200630441521,0.04883110531565931
TNFRSF9,22.761284897737355,0.3481173174569696,0.532476667044263,0.6537700879727595,0.5132599403990195,0.5527414742758671
CD4,84.1788291844289,0.1590109615645982,0.19014237939435108,0.8362731237038588,0.40300126934176317,0.45961948834274635
ICOS,60.12846452760875,0.15131597663129173,0.2195293323866824,0.6892745264890681,0.49065052519146046,0.5422979488958247
TNF,80.13289421137365,0.060506781821005946,0.2078534990581665,0.2911030225383576,0.7709725283365534,0.789776736344762
GZMM,27.16049572824475,-0.020615087804541396,0.25966896478896306,-0.07938987942319403,0.9367225182842915,0.9367225182842915
IFNG,29.75682573506091,-0.12341044863698185,0.2339617586483735,-0.5274812830521515,0.597859410786201,0.627752381325511
TNFRSF4,34.70892138720925,-0.23882521106258095,0.2303466919263436,-1.0368076444481715,0.2998255121937353,0.37037269153343777
CTLA4-TM,18.83766709024628,-0.2580170086304032,0.30978265265124055,-0.8328968921345117,0.4049028825876575,0.45961948834274635
SIGLEC7,8.239113359395335,-0.2920777722188061,0.316404636059207,-0.9231147048178878,0.3559474322783712,0.42713691873404547
CD8A,12.956900829304875,-0.6280235137873298,0.31990023050037664,-1.9631855619641088,0.04962461638172461,0.06513230900101355
LAG3,33.583649528189135,-0.7539440915170058,0.25871551750847743,-2.914181950807419,0.0035662198684963875,0.005349329802744581
VISTA,19.36673471044338,-0.866227662634385,0.2904058457372256,-2.982817582185288,0.0028560816573310723,0.004450538447395272
TNFRSF18,18.624539149372783,-0.9972141334686253,0.27735406000014146,-3.595455330519109,0.00032382469177807987,0.0005440254821871742
EOMES,24.67569437448885,-1.1668632191986794,0.2587800680539985,-4.5090923268294185,6.510557283172813e-06,1.4391758204908324e-05
GZMK,9.232891254658064,-1.170748523146784,0.3064569637526981,-3.820270581586602,0.0001333053504290366,0.00023328436325081406
FOXP3,35.00875948567916,-1.2299915954663876,0.2655486573434133,-4.631887834686866,3.6234645609822837e-06,1.454750642291996e-06
ADORA2A,26.58037970932029,-1.3328739063476769,0.24468771265938455,-5.447244946880895,5.115599309433743e-08,1.79045975830181e-07
CD45RA,11.899485786223314,-1.420453280962661,0.36425010051001405,-3.899664760486757,9.632596946913522e-05,0.00005758995964218992
VTCN1,12.104288434034236,-1.4927448259799216,0.3046860962416381,-4.899287641914802,9.618474512983647e-07,2.693172863635421e-12
CD28,36.65533052472638,-1.5643041562612647,0.24088915606462216,-6.493875364989932,8.36559648010159e-11,4.3919381520533347e-10
FASLG,10.750980463251516,-1.6043381024065764,0.3340191324769634,-4.8031323550522185,1.5620255831294768e-06,1.100317155714876e-14
CD27,31.85830508144394,-1.614648731761221,0.20089166707867676,-8.03741018849161,9.175710511805665e-16,9.634496037395949e-17
TNFSF18,23.56973027731347,-1.7933237156401443,0.26285044469432967,-6.822601033548225,8.940670679819728e-12,6.25846947587381e-11
NOX2,13.362864114307493,-1.8063539789370917,0.3048578173504307,-5.925234244069613,3.1185253577301692e-09,1.3097806502466711e-08
ADORA2B,16.45763940191909,-2.9269893386915085,0.3029456450380633,-9.66176403798031,4.382514577971741e-22,1.840656122748131e-19
