gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD7,1.9953874345226066e-23,-2.678982410059797,0.103,0.667,5.108191832377873e-21
JUN,8.935752789097152e-14,-2.6931962692794986,0.132,0.576,2.287552714008871e-11
PRDM1,3.157831999536232e-6,-2.727892010540744,0.053,0.242,8.084049918812754e-4
CD8A,1.6600087398671167e-7,-2.7624317034007095,0.125,0.424,4.2496223740598186e-5
TIGIT,2.3884729553621173e-5,-2.7691802190313757,0.037,0.182,0.00611449076572702
CD3D,2.111051822020392e-25,-2.7713899438264464,0.178,0.848,5.404292664372204e-23
DUSP2,2.4915977294610987e-13,-2.8191600681080575,0.074,0.424,6.378490187420413e-11
IL2RA,9.59214631968678e-25,-2.8265395984736554,0.056,0.515,2.4555894578398156e-22
SELL,8.955953410968091e-10,-2.8360833711445266,0.099,0.424,2.2927240732078314e-7
CD247,9.259185656377838e-14,-2.8431017898209046,0.094,0.485,2.3703515280327267e-11
CCL5,1.9442913373237685e-12,-2.859190384763971,0.337,0.788,4.977385823548847e-10
ITGAL,1.5470981723768746e-26,-2.9087063597308576,0.192,0.879,3.960571321284799e-24
CD8B,5.304148131887297e-7,-2.9346372855279936,0.073,0.303,1.357861921763148e-4
GATA3,1.2823689988258148e-4,-2.9420168158935915,0.012,0.091,0.03282864636994086
IL2RB,3.860334362135818e-24,-2.994758277965565,0.162,0.788,9.882455967067693e-22
KLRG1,1.0093199386209614e-9,-3.026905713480105,0.019,0.182,2.583859042869661e-7
LCK,6.533246334764488e-29,-3.0346988184034434,0.175,0.879,1.672511061699709e-26
LAT,1.1057808153627613e-23,-3.0370790128651977,0.149,0.758,2.830798887328669e-21
IL9R,2.5141067828828074e-6,-3.0415524894445056,0.031,0.182,6.436113364179987e-4
TNFRSF25,8.016648644755271e-8,-3.054491545152004,0.024,0.182,2.0522620530573493e-5
SLAMF1,1.3459537891642538e-15,-3.0846212113363913,0.046,0.364,3.4456417002604896e-13
CD52,1.7482326291650155e-20,-3.0989675822937968,0.335,0.939,4.47547553066244e-18
SELPLG,7.330957457081501e-29,-3.1221709496527907,0.165,0.879,1.8767251090128643e-26
VNN2,9.120127660039345e-6,-3.126441387031019,0.016,0.121,0.0023347526809700723
ITK,1.4293874445613492e-28,-3.176482069530614,0.086,0.667,3.659231858077054e-26
CTLA4,6.294340593454315e-18,-3.220876188889068,0.064,0.455,1.6113511919243047e-15
CD40LG,2.600682151215565e-6,-3.2639449107809537,0.014,0.121,6.657746307111846e-4
TGFB1,0.0030909608854558417,-3.263944910780954,0.009,0.061,0.7912859866766955
LTB,7.962373508738464e-10,-3.2859712171109527,0.065,0.333,2.038367618237047e-7
CD3G,4.271280924020772e-12,-3.331059106639491,0.027,0.242,1.0934479165493177e-9
CD3E,8.938191585284383e-33,-3.353533704993651,0.188,0.939,2.288177045832802e-30
ICOS,1.009158296137751e-13,-3.3658245248001677,0.045,0.333,2.5834452381126425e-11
PTGDR2,1.6624024640880156e-6,-3.385251207003088,0.03,0.182,4.25575030806532e-4
ZAP70,3.046854037604078e-14,-3.389475792864813,0.035,0.303,7.79994633626644e-12
CCND2,2.0106342435280262e-22,-3.412467435491042,0.105,0.636,5.147223663431747e-20
LAT2,7.245289022533522e-13,-3.4338699122232663,0.019,0.212,1.8547939897685816e-10
CXCR3,6.603009506762424e-20,-3.4659886867255993,0.075,0.515,1.6903704337311806e-17
KLRK1,2.825328819152605e-19,-3.480756299854102,0.06,0.455,7.232841777030669e-17
STAT4,5.4762868719646364e-24,-3.4902207666046303,0.062,0.515,1.401929439222947e-21
CXCR6,3.634638194450486e-8,-3.4934267569037205,0.032,0.212,9.304673777793244e-6
DPP4,2.054115760894836e-17,-3.5360244562177545,0.035,0.333,5.25853634789078e-15
TBX21,3.331656696233679e-25,-3.5561256622742645,0.032,0.394,8.529041142358218e-23
KLRC3,7.040307306951121e-7,-3.5635051926398615,0.007,0.091,1.802318670579487e-4
BIN2,7.325663818774081e-32,-3.578818248134366,0.088,0.697,1.8753699376061646e-29
ARL4C,3.299523721525913e-39,-3.64876779701279,0.099,0.818,8.446780727106336e-37
CD48,6.825091152598513e-35,-3.6571229760960584,0.141,0.879,1.7472233350652193e-32
TRAT1,1.8940328814989951e-16,-3.7679874161185425,0.062,0.424,4.8487241766374275e-14
BCL2,5.880747857796966e-27,-3.7720918144512794,0.029,0.394,1.5054714515960234e-24
NINJ2,3.134296763171005e-5,-3.7785180836107117,0.01,0.091,0.008023799713717772
CCR2,1.464077150107344e-20,-3.78395196966134,0.028,0.333,3.748037504274801e-18
ITGB2,8.318292328975223e-28,-3.786623133247767,0.148,0.788,2.129482836217657e-25
CXCR4,3.5759170626684267e-22,-3.800490282451407,0.304,0.909,9.154347680431172e-20
KLRC4,0.0016944606501114762,-3.804513292143657,0.008,0.061,0.4337819264285379
ITGAM,6.773694363073705e-14,-3.8489074115021102,0.017,0.212,1.7340657569468686e-11
IL18RAP,1.2335481140763017e-10,-3.8489074115021102,0.012,0.152,3.1578831720353324e-8
LAG3,1.0343910687509408e-26,-3.8536609414727447,0.048,0.485,2.6480411360024084e-24
CD300A,4.223234629249676e-15,-3.9013748313962453,0.011,0.182,1.0811480650879171e-12
HAVCR2,3.202751752940366e-29,-3.942016815893591,0.032,0.424,8.199044487527337e-27
LAIR2,6.701282768972161e-16,-4.054491545152004,0.02,0.242,1.7155283888568733e-13
KLRB1,2.4901872422777394e-18,-4.058475792480975,0.04,0.364,6.374879340231013e-16
CD244,3.798345993322028e-15,-4.071299832838559,0.011,0.182,9.723765742904392e-13
GZMH,1.0280956725034875e-13,-4.138414028697095,0.046,0.333,2.631924921608928e-11
PECAM1,1.3418917522777382e-12,-4.148467693361018,0.009,0.152,3.43524288583101e-10
CCR5,1.7153180622700084e-26,-4.151470181522541,0.043,0.455,4.3912142394112215e-24
DUSP1,2.0778813829848173e-26,-4.205051221727385,0.091,0.636,5.319376340441132e-24
GZMB,3.748244384371819e-14,-4.296057095934707,0.101,0.485,9.595505623991856e-12
CST7,4.4141886963178136e-35,-4.341565807903427,0.083,0.697,1.1300323062573603e-32
IFNG,6.0698913123807e-33,-4.408334820116128,0.023,0.394,1.5538921759694592e-30
ZNF683,1.1379355917679696e-12,-4.4565899887233495,0.009,0.152,2.913115114926002e-10
TARP-refseq,5.47349506819466e-19,-4.516429397273837,0.054,0.424,1.401214737457833e-16
CCR8,1.5472202553796667e-6,-4.526979316614748,0.003,0.061,3.960883853771947e-4
NKG7,4.292206358850421e-22,-4.591639948887202,0.156,0.727,1.0988048278657077e-19
GNLY,7.454628884403846e-12,-4.5942852454845164,0.066,0.364,1.9083849944073846e-9
ZBTB16,8.859952372233522e-12,-4.678982410059797,0.006,0.121,2.2681478072917816e-9
CCL4,1.6141823019898503e-21,-4.756461162737515,0.055,0.455,4.1323066930940167e-19
CTSW,5.633896665950529e-35,-4.763046674848272,0.076,0.667,1.4422775464833353e-32
KLRC1,5.218382781013393e-25,-4.836523687046277,0.014,0.273,1.3359059919394285e-22
TSPAN32,7.395163001739733e-13,-4.84890741150211,0.006,0.121,1.8931617284453717e-10
NCR3,9.473745050865033e-36,-4.876921787671706,0.021,0.394,2.4252787330214483e-33
CD69,4.662414435935854e-44,-4.892962591580045,0.084,0.788,1.1935780955995787e-41
PRF1,1.7906861666098414e-54,-5.117458822303469,0.069,0.818,4.584156586521194e-52
GZMA,8.022106857779343e-28,-5.14065041891533,0.099,0.667,2.0536593555915117e-25
TRDC,3.769935656675485e-21,-5.224416546594316,0.028,0.333,9.651035281089242e-19
CXCR1,1.978759989029957e-5,-5.263944910780954,0.001,0.03,0.00506562557191669
IL5,1.978759989029957e-5,-5.263944910780954,0.001,0.03,0.00506562557191669
CCL3,2.332556052078593e-39,-5.486337332117401,0.03,0.485,5.9713434933211984e-37
CD160,5.871564155429112e-10,-6.263944910780954,0,0.03,1.5031204237898527e-7
IL17F,1.847325193365699e-18,-6.84890741150211,0,0.061,4.729152495016189e-16
